Results for error margin CALCULATE PROBABILITY
r: 10, b: 1, d: 500, a: 5, v: 2, function: 0.4222194567010611, result: 0.221
r: 10, b: 1, d: 500, a: 10, v: 2, function: 0.37643432346908856, result: 0.191
r: 10, b: 1, d: 1000, a: 1, v: 2, function: 1.910301461471137, result: 0.7153999999999999
r: 10, b: 1, d: 1000, a: 5, v: 2, function: 0.8444389134021222, result: 0.3792
r: 10, b: 1, d: 1000, a: 10, v: 2, function: 0.7528686469381771, result: 0.31939999999999996
r: 50, b: 1, d: 10, a: 1, v: 2, function: 0.08761595602984701, result: 0.1028
r: 50, b: 1, d: 10, a: 5, v: 2, function: 0.03873018170103618, result: 0.1
r: 50, b: 1, d: 10, a: 10, v: 2, function: 0.03453031241235972, result: 0.10460000000000001
r: 50, b: 1, d: 50, a: 1, v: 2, function: 0.2943088740747615, result: 0.3692
r: 50, b: 1, d: 50, a: 5, v: 2, function: 0.1300977206167774, result: 0.1026
r: 50, b: 1, d: 50, a: 10, v: 2, function: 0.11599002999030676, result: 0.10320000000000001
r: 50, b: 1, d: 100, a: 1, v: 2, function: 0.588617748149523, result: 0.6412
r: 50, b: 1, d: 100, a: 5, v: 2, function: 0.2601954412335548, result: 0.38280000000000003
r: 50, b: 1, d: 100, a: 10, v: 2, function: 0.23198005998061352, result: 0.35800000000000004
r: 50, b: 1, d: 500, a: 1, v: 2, function: 1.7929214921518264, result: 1.7534
r: 50, b: 1, d: 500, a: 5, v: 2, function: 0.7925517030605459, result: 0.9383999999999999
r: 50, b: 1, d: 500, a: 10, v: 2, function: 0.7066080433311324, result: 0.7901999999999999
r: 50, b: 1, d: 1000, a: 1, v: 2, function: 3.585842984303653, result: 3.3697999999999997
r: 50, b: 1, d: 1000, a: 5, v: 2, function: 1.5851034061210918, result: 1.7282
r: 50, b: 1, d: 1000, a: 10, v: 2, function: 1.4132160866622647, result: 1.4134000000000002
r: 100, b: 1, d: 10, a: 1, v: 2, function: 0.1387908725812981, result: 0.1674
r: 100, b: 1, d: 10, a: 5, v: 2, function: 0.06135178975491484, result: 0.1702
r: 100, b: 1, d: 10, a: 10, v: 2, function: 0.05469885175462376, result: 0.16959999999999997
r: 100, b: 1, d: 50, a: 1, v: 2, function: 0.46620943595411524, result: 0.6998000000000001
r: 100, b: 1, d: 50, a: 5, v: 2, function: 0.2060854778448053, result: 0.16979999999999998
r: 100, b: 1, d: 50, a: 10, v: 2, function: 0.18373773685242428, result: 0.173
r: 100, b: 1, d: 100, a: 1, v: 2, function: 0.9324188719082305, result: 1.2464
r: 100, b: 1, d: 100, a: 5, v: 2, function: 0.4121709556896106, result: 0.7404000000000001
r: 100, b: 1, d: 100, a: 10, v: 2, function: 0.36747547370484857, result: 0.6698000000000001
r: 100, b: 1, d: 500, a: 1, v: 2, function: 2.8401349439221484, result: 3.4892
r: 100, b: 1, d: 500, a: 5, v: 2, function: 1.2554670110099022, result: 1.8304
r: 100, b: 1, d: 500, a: 10, v: 2, function: 1.1193251931586872, result: 1.5316
r: 100, b: 1, d: 1000, a: 1, v: 2, function: 5.680269887844297, result: 6.6596
r: 100, b: 1, d: 1000, a: 5, v: 2, function: 2.5109340220198044, result: 3.4122
r: 100, b: 1, d: 1000, a: 10, v: 2, function: 2.2386503863173743, result: 2.7956
r: 500, b: 1, d: 10, a: 1, v: 2, function: 0.5481902049929068, result: 0.6812
r: 500, b: 1, d: 10, a: 5, v: 2, function: 0.242324654185944, result: 0.7016
r: 500, b: 1, d: 10, a: 10, v: 2, function: 0.21604716649273598, result: 0.7136
r: 500, b: 1, d: 50, a: 1, v: 2, function: 1.8414139309889443, result: 3.3342
r: 500, b: 1, d: 50, a: 5, v: 2, function: 0.8139875356690284, result: 0.7172
r: 500, b: 1, d: 50, a: 10, v: 2, function: 0.7257193917493647, result: 0.721
r: 500, b: 1, d: 100, a: 1, v: 2, function: 3.6828278619778887, result: 6.0174
r: 500, b: 1, d: 100, a: 5, v: 2, function: 1.6279750713380567, result: 3.4846
r: 500, b: 1, d: 100, a: 10, v: 2, function: 1.4514387834987295, result: 3.2144
r: 500, b: 1, d: 500, a: 1, v: 2, function: 11.217842558084728, result: 14.766
r: 500, b: 1, d: 500, a: 5, v: 2, function: 4.9587894746047505, result: 8.959800000000001
r: 500, b: 1, d: 500, a: 10, v: 2, function: 4.4210623917791265, result: 7.47
r: 500, b: 1, d: 1000, a: 1, v: 2, function: 22.435685116169456, result: 23.0488
r: 500, b: 1, d: 1000, a: 5, v: 2, function: 9.917578949209501, result: 14.1542
r: 500, b: 1, d: 1000, a: 10, v: 2, function: 8.842124783558253, result: 12.3208
r: 1000, b: 1, d: 10, a: 1, v: 2, function: 1.0599393705074176, result: 1.3157999999999999
r: 1000, b: 1, d: 10, a: 5, v: 2, function: 0.46854073472473046, result: 1.3614
r: 1000, b: 1, d: 10, a: 10, v: 2, function: 0.4177325599153762, result: 1.399
r: 1000, b: 1, d: 50, a: 1, v: 2, function: 3.5604195497824818, result: 6.5972
r: 1000, b: 1, d: 50, a: 5, v: 2, function: 1.5738651079493076, result: 1.3934
r: 1000, b: 1, d: 50, a: 10, v: 2, function: 1.4031964603705405, result: 1.4006
r: 1000, b: 1, d: 100, a: 1, v: 2, function: 7.1208390995649635, result: 11.5702
r: 1000, b: 1, d: 100, a: 5, v: 2, function: 3.147730215898615, result: 6.928
r: 1000, b: 1, d: 100, a: 10, v: 2, function: 2.806392920741081, result: 6.3806
r: 1000, b: 1, d: 500, a: 1, v: 2, function: 21.689977075787944, result: 24.3612
r: 1000, b: 1, d: 500, a: 5, v: 2, function: 9.587942554098312, result: 15.3604
r: 1000, b: 1, d: 500, a: 10, v: 2, function: 8.548233890054675, result: 13.0566
r: 1000, b: 1, d: 1000, a: 1, v: 2, function: 43.37995415157589, result: 41.3634
r: 1000, b: 1, d: 1000, a: 5, v: 2, function: 19.175885108196624, result: 24.1014
r: 1000, b: 1, d: 1000, a: 10, v: 2, function: 17.09646778010935, result: 20.0862
r: 5000, b: 1, d: 10, a: 1, v: 2, function: 5.153932694623505, result: 14.354000000000001
r: 5000, b: 1, d: 10, a: 5, v: 2, function: 2.2782693790350224, result: 14.867199999999999
r: 5000, b: 1, d: 10, a: 10, v: 2, function: 2.031215707296498, result: 14.822799999999999
r: 5000, b: 1, d: 50, a: 1, v: 2, function: 17.312464500130773, result: 28.4274
r: 5000, b: 1, d: 50, a: 5, v: 2, function: 7.65288568619154, result: 15.1198
r: 5000, b: 1, d: 50, a: 10, v: 2, function: 6.823013009339945, result: 13.6256
r: 5000, b: 1, d: 100, a: 1, v: 2, function: 34.624929000261545, result: 43.5824
r: 5000, b: 1, d: 100, a: 5, v: 2, function: 15.30577137238308, result: 24.4746
r: 5000, b: 1, d: 100, a: 10, v: 2, function: 13.64602601867989, result: 28.5474
r: 5000, b: 1, d: 500, a: 1, v: 2, function: 105.46705321741373, result: 105.301
r: 5000, b: 1, d: 500, a: 5, v: 2, function: 46.621167190046805, result: 58.982200000000006
r: 5000, b: 1, d: 500, a: 10, v: 2, function: 41.56560587625906, result: 51.5996
r: 5000, b: 1, d: 1000, a: 1, v: 2, function: 210.93410643482747, result: 215.7276
r: 5000, b: 1, d: 1000, a: 5, v: 2, function: 93.24233438009361, result: 102.2058
r: 5000, b: 1, d: 1000, a: 10, v: 2, function: 83.13121175251813, result: 88.9704
r: 10000, b: 1, d: 10, a: 1, v: 2, function: 10.271424349768614, result: 17.415
r: 10000, b: 1, d: 10, a: 5, v: 2, function: 4.540430184422887, result: 16.4002
r: 10000, b: 1, d: 10, a: 10, v: 2, function: 4.048069641522901, result: 18.1772
r: 10000, b: 1, d: 50, a: 1, v: 2, function: 34.502520688066134, result: 45.092000000000006
r: 10000, b: 1, d: 50, a: 5, v: 2, function: 15.251661408994327, result: 18.360599999999998
r: 10000, b: 1, d: 50, a: 10, v: 2, function: 13.5977836955517, result: 18.281200000000002
r: 10000, b: 1, d: 100, a: 1, v: 2, function: 69.00504137613227, result: 86.2632
r: 10000, b: 1, d: 100, a: 5, v: 2, function: 30.503322817988654, result: 48.0092
r: 10000, b: 1, d: 100, a: 10, v: 2, function: 27.1955673911034, result: 45.36
r: 10000, b: 1, d: 500, a: 1, v: 2, function: 210.18839839444595, result: 217.847
r: 10000, b: 1, d: 500, a: 5, v: 2, function: 92.91269798498242, result: 109.8078
r: 10000, b: 1, d: 500, a: 10, v: 2, function: 82.83732085901457, result: 93.23360000000001
r: 10000, b: 1, d: 1000, a: 1, v: 2, function: 420.3767967888919, result: 371.8524
r: 10000, b: 1, d: 1000, a: 5, v: 2, function: 185.82539596996483, result: 193.5622
r: 10000, b: 1, d: 1000, a: 10, v: 2, function: 165.67464171802914, result: 160.8642
r: 50000, b: 1, d: 10, a: 1, v: 2, function: 51.21135759092949, result: 125.292
r: 50000, b: 1, d: 10, a: 5, v: 2, function: 22.637716627525805, result: 142.63
r: 50000, b: 1, d: 10, a: 10, v: 2, function: 20.182901115334122, result: 124.148
r: 50000, b: 1, d: 50, a: 1, v: 2, function: 172.02297019154906, result: 265.592
r: 50000, b: 1, d: 50, a: 5, v: 2, function: 76.04186719141664, result: 124.946
r: 50000, b: 1, d: 50, a: 10, v: 2, function: 67.79594918524575, result: 125.366
r: 50000, b: 1, d: 100, a: 1, v: 2, function: 344.0459403830981, result: 414.738
r: 50000, b: 1, d: 100, a: 5, v: 2, function: 152.08373438283328, result: 276.16200000000003
r: 50000, b: 1, d: 100, a: 10, v: 2, function: 135.5918983704915, result: 259.062
r: 50000, b: 1, d: 500, a: 1, v: 2, function: 1047.959159810704, result: 1020.3580000000001
r: 50000, b: 1, d: 500, a: 5, v: 2, function: 463.2449443444674, result: 623.2239999999999
r: 50000, b: 1, d: 500, a: 10, v: 2, function: 413.0110407210585, result: 539.412
r: 50000, b: 1, d: 1000, a: 1, v: 2, function: 2095.918319621408, result: 1892.074
r: 50000, b: 1, d: 1000, a: 5, v: 2, function: 926.4898886889348, result: 1004.7
r: 50000, b: 1, d: 1000, a: 10, v: 2, function: 826.022081442117, result: 842.854
r: 100000, b: 1, d: 10, a: 1, v: 2, function: 102.38627414238056, result: 156.13
r: 100000, b: 1, d: 10, a: 5, v: 2, function: 45.25932468140445, result: 156.188
r: 100000, b: 1, d: 10, a: 10, v: 2, function: 40.351440457598144, result: 158.366
r: 100000, b: 1, d: 50, a: 1, v: 2, function: 343.92353207090275, result: 441.738
r: 100000, b: 1, d: 50, a: 5, v: 2, function: 152.02962441944453, result: 159.016
r: 100000, b: 1, d: 50, a: 10, v: 2, function: 135.5436560473633, result: 160.004
r: 100000, b: 1, d: 100, a: 1, v: 2, function: 687.8470641418055, result: 738.5939999999999
r: 100000, b: 1, d: 100, a: 5, v: 2, function: 304.05924883888906, result: 459.69399999999996
r: 100000, b: 1, d: 100, a: 10, v: 2, function: 271.0873120947266, result: 426.338
r: 100000, b: 1, d: 500, a: 1, v: 2, function: 2095.172611581026, result: 1953.81
r: 100000, b: 1, d: 500, a: 5, v: 2, function: 926.1602522938235, result: 1061.786
r: 100000, b: 1, d: 500, a: 10, v: 2, function: 825.7281905486134, result: 900.624
r: 100000, b: 1, d: 1000, a: 1, v: 2, function: 4190.345223162052, result: 3695.654
r: 100000, b: 1, d: 1000, a: 5, v: 2, function: 1852.320504587647, result: 1918.104
r: 100000, b: 1, d: 1000, a: 10, v: 2, function: 1651.4563810972268, result: 1591.1779999999999
Results for error margin Calculate Probability
